ID,正式名称,正式名称（フリガナ）,所在地,所在地座標（緯度）,所在地座標（経度）,案内用ホームページアドレス,月_就業時間帯1_開始時間,月_就業時間帯1_終了時間,火_就業時間帯1_開始時間,火_就業時間帯1_終了時間,水_就業時間帯1_開始時間,水_就業時間帯1_終了時間,木_就業時間帯1_開始時間,木_就業時間帯1_終了時間,金_就業時間帯1_開始時間,金_就業時間帯1_終了時間,土_就業時間帯1_開始時間,土_就業時間帯1_終了時間,日_就業時間帯1_開始時間,日_就業時間帯1_終了時間,祝_就業時間帯1_開始時間,祝_就業時間帯1_終了時間,月_就業時間帯2_開始時間,月_就業時間帯2_終了時間,火_就業時間帯2_開始時間,火_就業時間帯2_終了時間,水_就業時間帯2_開始時間,水_就業時間帯2_終了時間,木_就業時間帯2_開始時間,木_就業時間帯2_終了時間,金_就業時間帯2_開始時間,金_就業時間帯2_終了時間,土_就業時間帯2_開始時間,土_就業時間帯2_終了時間,日_就業時間帯2_開始時間,日_就業時間帯2_終了時間,祝_就業時間帯2_開始時間,祝_就業時間帯2_終了時間,月_就業時間帯3_開始時間,月_就業時間帯3_終了時間,火_就業時間帯3_開始時間,火_就業時間帯3_終了時間,水_就業時間帯3_開始時間,水_就業時間帯3_終了時間,木_就業時間帯3_開始時間,木_就業時間帯3_終了時間,金_就業時間帯3_開始時間,金_就業時間帯3_終了時間,土_就業時間帯3_開始時間,土_就業時間帯3_終了時間,日_就業時間帯3_開始時間,日_就業時間帯3_終了時間,祝_就業時間帯3_開始時間,祝_就業時間帯3_終了時間,月_外来受付時間帯1_開始時間,月_外来受付時間帯1_終了時間,火_外来受付時間帯1_開始時間,火_外来受付時間帯1_終了時間,水_外来受付時間帯1_開始時間,水_外来受付時間帯1_終了時間,木_外来受付時間帯1_開始時間,木_外来受付時間帯1_終了時間,金_外来受付時間帯1_開始時間,金_外来受付時間帯1_終了時間,土_外来受付時間帯1_開始時間,土_外来受付時間帯1_終了時間,日_外来受付時間帯1_開始時間,日_外来受付時間帯1_終了時間,祝_外来受付時間帯1_開始時間,祝_外来受付時間帯1_終了時間,月_外来受付時間帯2_開始時間,月_外来受付時間帯2_終了時間,火_外来受付時間帯2_開始時間,火_外来受付時間帯2_終了時間,水_外来受付時間帯2_開始時間,水_外来受付時間帯2_終了時間,木_外来受付時間帯2_開始時間,木_外来受付時間帯2_終了時間,金_外来受付時間帯2_開始時間,金_外来受付時間帯2_終了時間,土_外来受付時間帯2_開始時間,土_外来受付時間帯2_終了時間,日_外来受付時間帯2_開始時間,日_外来受付時間帯2_終了時間,祝_外来受付時間帯2_開始時間,祝_外来受付時間帯2_終了時間,月_外来受付時間帯3_開始時間,月_外来受付時間帯3_終了時間,火_外来受付時間帯3_開始時間,火_外来受付時間帯3_終了時間,水_外来受付時間帯3_開始時間,水_外来受付時間帯3_終了時間,木_外来受付時間帯3_開始時間,木_外来受付時間帯3_終了時間,金_外来受付時間帯3_開始時間,金_外来受付時間帯3_終了時間,土_外来受付時間帯3_開始時間,土_外来受付時間帯3_終了時間,日_外来受付時間帯3_開始時間,日_外来受付時間帯3_終了時間,祝_外来受付時間帯3_開始時間,祝_外来受付時間帯3_終了時間
1141126206000,相談室ブルーカーネーション　ながしま助産院,ソウダンシツ　ブルーカーネーション　ナガシマジョサンイン,埼玉県所沢市荒幡５３４ー２２,35.773826,139.452287,instagram @431zlstg,10:00,16:00,10:00,16:00,,,10:00,16:00,10:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00,16:00,10:00,16:00,,,10:00,16:00,10:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241200001900,うさぎのまち助産院,ウサギノマチジョサンイン,千葉県船橋市坪井東５－１４－１６,35.729785,140.065931,,10:00,12:00,10:00,12:00,10:00,12:00,10:00,12:00,10:00,12:00,,,,,,,13:00,16:00,13:00,16:00,13:00,16:00,13:00,16:00,13:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241200565700,八千代マタニティセンター武田助産院,ヤチヨマタニティセンタータケダジョサンイン,千葉県八千代市米本１４５０,35.756162,140.109369,http://www.yachiyo-mid.net,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,,,,,18:00,00:00,18:00,00:00,18:00,00:00,18:00,00:00,18:00,00:00,18:00,00:00,,,,,,,,,,,,,,,,,,,,,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241200568100,鶴岡助産所（出張専門）,ツルオカジョサンジョ（シュッチョウセンモン）,千葉県習志野市藤崎,35.690715,140.037034,,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,,,,,,,13:00,17:00,13:00,17:00,13:00,17:00,13:00,17:00,13:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241200571100,あおぞら助産所,アオゾラジョジョジョ,千葉県習志野市津田沼,35.68279,140.025385,,10:00,12:00,10:00,12:00,10:00,12:00,10:00,12:00,10:00,12:00,,,,,,,13:00,17:00,13:00,17:00,13:00,17:00,13:00,17:00,13:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241200572000,母乳育児ＰＥＴＩＴＭＡＭＭＡ,ボニュウイクジプチマンマ,千葉県習志野市秋津３ー２ー４ー１,35.671772,140.01537,http://petit-mamma.wix.com/mamma,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241200574600,丸山助産院,マルヤマジョサンイン,千葉県八千代市高津東２－８－１８,35.716696,140.090531,http://maruyama.kenkenpa.net/,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,13:00,09:00,13:00,09:00,13:00,09:00,13:00,09:00,13:00,09:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241203165800,よしおか助産所,ヨシオカジョサンジョ,千葉県成田市玉造１－１３－２,35.797921,140.290138,,09:00,19:00,09:00,19:00,09:00,19:00,,,09:00,19:00,09:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30,17:00,08:30,17:00,08:30,17:00,,,08:30,17:00,08:30,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241203168200,杉山母乳育児相談室,スギヤマボニュウイクジソウダンシツ,千葉県佐倉市大崎台１－２０－１０,35.70746,140.222176,,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,,,09:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30,15:00,08:30,15:00,08:30,15:00,08:30,15:00,,,08:30,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241203172000,Ｂｉｒｔｈ＆ｈｅａｌｉｎｇ　天使が舞い降りる家　助産院ゆい,バースアンドヒーリング　テンシガマイオリルイエ　ジョサンインユイ,千葉県印旛郡栄町安食１－４の１０,35.833795,140.246021,,09:00,12:00,09:00,12:00,,,,,09:00,12:00,09:00,12:00,,,,,15:00,18:00,15:00,18:00,,,,,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,09:00,12:00,09:00,12:00,,,,,09:00,12:00,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241203719200,季美の森助産院　桶谷式　季美の森母乳育児相談室,キミノモリジョサンイン　オケタニシキ　キミノモリボニュウイクジソウダンシツ,千葉県大網白里市季美の森南,35.556339,140.298996,http://www.page.sannet.ne.jp/yi-inaba/kimi/,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,08:00,10:00,08:00,12:00,,,13:00,17:00,13:00,17:00,13:00,17:00,16:00,17:00,13:00,17:00,16:00,17:00,,,,,,,,,,,,,,,,,,,,,08:00,12:00,08:00,12:00,08:00,12:00,08:00,12:00,08:00,12:00,08:00,09:30,08:00,12:00,,,13:00,16:00,13:00,16:00,13:00,16:00,15:30,17:00,13:00,16:00,,,,,,,,,,,,,,,,,,,,,,
1241204528400,キミツナカノ助産院,キミツナカノジョサンイン,千葉県君津市中野２－３１－２,35.326207,139.896471,https://kimitsunakano.com/,13:00,17:00,13:00,17:00,13:00,17:00,13:00,17:00,,,,,13:00,17:00,13:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,17:00,13:00,17:00,13:00,17:00,13:00,17:00,,,,,13:00,17:00,13:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241204829100,瑞生助産院,ミヅキジョサンイン,千葉県市原市北国分寺台２－３－１５,35.507822,140.117627,,09:00,15:00,09:00,15:00,09:00,15:00,09:00,17:00,,,09:00,17:00,09:00,17:00,09:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30,14:30,08:30,14:30,08:30,16:30,08:30,16:30,,,08:30,16:30,08:30,16:30,08:30,16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241204891700,ひまわり助産院,ヒマワリジョサンイン,千葉県匝瑳市野手１７１４６－９３７,35.659311,140.59953,http://midwifemap.com/himawari-baby/mysite/,,,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,,,,,,,13:00,16:00,13:00,16:00,13:00,16:00,13:00,16:00,13:00,16:00,,,,,,,,,,,,,,,,,,,,,,,09:00,11:00,09:00,11:00,09:00,11:00,09:00,11:00,09:00,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241205406200,いわい助産院母乳相談室,イワイジョサンインボニュウソウダンシツ,千葉県柏市千代田１－５－３３,35.855618,139.978695,https://itp.ne.jp/info/129941746188340830/,06:00,17:00,06:00,17:00,,,06:00,17:00,06:00,17:00,06:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:00,17:00,06:00,17:00,,,06:00,17:00,06:00,17:00,06:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
